getURLnotice,getURLdraw
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2011-993 pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2011-993 dwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/JPN-Lafourche-Port.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Plats-Lafourche-Port.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/PN.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/DR.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2011-992 pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2011-992 dwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2011-00950pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2011-00950dwg.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN-2011-00658-WMMjpn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN-2011-00658-WMMdwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Richard Sagona 00917 PN REVISED.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Richard Sagona 00917 DWGS REVISED.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2_Caney Creek Permit PN letter 4-18-11.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Caney Creek Prospectus.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2_Enterprise Woodlands Permit PN letter.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/PN prospectus.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN201100483.pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN201100483.dwg.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110647pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110647pnd.pdf
